TAIL_NUMBER,MANUFACTURER,MODEL
N238GA,Gulfstream Aerospace,695B
N238GB,Douglas,DC3C 1830-94
N238JA,Gates Learjet Corp.,35A
N238JC,Cessna,560
N238K,Beech,E18S
N238NW,Mcdonnell-Douglas,DC-10-30
N238TA,Boeing,737-242C
N238WA,Boeing,737-247
N239AL,Beech,C-99
N239AS,Embraer,EMB-120RT
N239CA,Gates Lear Jet,25B
N239CJ,Saab,340B
N239FX,Learjet Inc,60
N239NW,Mcdonnell-Douglas,DC-10-30
N239SA,Dehavilland,DHC-6-300
N239TA,Boeing,737-25A
N239WA,Boeing,737-247
N239Z,Dehavilland,DHC-6-300
N2391C,Beech,C18S
N2395M,Beech,E18S
N24AN,Embraer,EMB-110P2
N24AT,Convair,340
N24BH,Beech,99
N24BL,Beech,300
N24CC,Aero Commander,690A
N24DR,Convair,440
N24G,Learjet Inc,60
N24GT,Rockwell International,690A
N24HV,Dehavilland,DHC-6 TWIN OTTER
N24HX,Cessna,560
N24J,Beech,E18S
N24JG,Dassault-Breguet,MYSTERE FALCON 200
N24JK,Canadair Ltd,CL-600-2B16
N24KL,Israel Aircraft Industries,1124
N24KT,Cessna,650
N24KW,Piper,PA-42-1000
N24NG,Cessna,560XL
N24PH,Cessna,560XL
N24PT,Cessna,441
N24QF,Cessna,425
N24RF,Rockwell International Corp,NA-265-65
N24RZ,Gates Lear Jet,25B
N24SA,Beech,200
N24SM,Beech,E-90
N24SP,Beech,A100
N24SR,Learjet Inc,60
N24SX,Beech,200
N24TW,Dassault/Sud,FAN JET FALCON
N24UD,Cessna,560XL
N24VB,Cessna,650
N24WC,Mitsubishi,MU-2B-36A
N24Y,Beech,E18S
N24YS,Gulfstream Aerospace,G1159B
N240AA,Aero Commander,1121
N240AK,Canadair Ltd,CL-600 CHALLENGER
N240AS,Embraer,EMB-120RT
N240B,Raytheon Aircraft Company,HAWKER 800XP
N240BN,Convair,240-21
N240CX,Gulfstream Aerospace,G-IV
N240DH,Fairchild,SA227-AT
N240DS,Saab,340B
N240E,Beech,D18S
N240EA,Gulfstream American Corp.,G-1159
N240FE,Boeing,727-277
N240FX,Learjet Inc,60
N240GA,Gulfstream Aerospace,1200
N240GL,Beech,1900D
N240HH,Convair,240-1
N240JS,Aerospatiale/Aeritalia,ATR 42-320
N240NE,Boeing,727-31
N240NW,Mcdonnell-Douglas,DC-10-30
N240S,Beech,300
N240TA,Boeing,737-205
N240TJ,Dassault/Sud,FAN JET FALCON
N240TW,Dassault/Sud,FAN JET FALCON
N2401,Douglas,DC3-G202A
N2404A,Boeing,717-200
N2405,Lockheed,ELECTRA 10-A
N24083,Beech,B-80
N2409R,Convair,C-131F
N241AA,Mcdonnell Douglas,DC-9-82(MD-82)
N241AE,Saab,340B
N241AS,Embraer,EMB-120RT
N241CA,Embraer,EMB-120RT
N241CW,Beech,B100
N241D,Beech,C-45H
N241DH,Fairchild,SA227-AT
N241DL,Boeing,737-330
N241FE,Boeing,727-277
N241FX,Learjet Inc,60
N241JC,Dassault-Breguet,FALCON 20
N241LF,Boeing,767-219
N241M,Lockheed,ELECTRA 10-A
N241NW,Mcdonnell-Douglas,DC-10-30
N241RT,Gates Lear Jet,35
N241SA,Dehavilland,DHC-6-300
N241US,Boeing,737-201
N241X,Beech,E18S-9700
N2410W,Boeing,717-200
N2411A,Cessna,650
N2414E,Boeing,717-200
N2417F,Boeing,717-200
N2419C,Boeing,717-200
N242AA,Mcdonnell Douglas,DC-9-82(MD-82)
N242AC,Cessna,560
N242AS,Embraer,EMB-120RT
N242AT,Aerospatiale/Aeritalia,ATR 42-300
N242BM,British Aerospace,BAE JETSTREAM 3201
N242CJ,Saab,340B
N242CT,Dassault-Breguet,MYSTERE FALCON 20-F5
N242DH,Fairchild,SA227-AT
N242DL,Boeing,737-330
N242DR,Gates Learjet Corp.,35A
N242FE,Boeing,727-277
N242FX,Learjet Inc,60
N242GB,Cessna,425
N242GS,Gates Learjet,25D
N242LC,Beech,200
N242LF,Beech,F90
N242MT,Gates Learjet Corp.,35A
N242NA,Beech,B200
N242NW,Mcdonnell-Douglas,DC-10-30
N242PF,Gates Learjet,25D
N242RA,Piper,PA-42
N242TC,Aero Commander,690A
N242US,Boeing,737-201
N242WA,Boeing,737-247
N242YV,Beech,1900D
N24202,Boeing,737-824
N24203,Beech,B100
N2421A,Boeing,717-200
N24211,Boeing,737-824
N24212,Boeing,737-824
N24224,Boeing,737-824
N24237,Cessna,650
N2424E,Beech,D18S
N2425,Dassault,FALCON 900 EX
N2425A,Boeing,717-200
N2426,Raytheon Corporate Jets Inc,HAWKER 800
N2427A,Boeing,717-200
N2428,Raytheon Corporate Jets Inc,HAWKER 800
N243AE,Saab,340B
N243AS,Embraer,EMB-120RT
N243CA,Embraer,EMB-120RT
N243DH,Fairchild,SA227-AT
N243FE,Boeing,727-277
N243FX,Learjet Inc,60
N243NW,Mcdonnell-Douglas,DC-10-30
N243US,Boeing,737-201
N243WA,Boeing,737-247
N24320,Douglas,DC-3A-S1C3G
N24343,Boeing,727-231
N244AA,Mcdonnell Douglas,DC-9-82(MD-82)
N244AD,Dassault-Breguet,FALCON 50
N244AE,Saab,340B
N244AS,Embraer,EMB-120RT
N244CA,Embraer,EMB-120RT
N244CH,Beech,200
N244DH,Fairchild,SA227-AT
N244DM,Grumman,G-1159
N244FE,Boeing,727-277
N244FX,Learjet Inc,60
N244JM,British Aerospace,BAE 125 SERIES 800A
N244JP,Beech,200
N244JS,Beech,200
N244LJ,Gates Learjet Corp.,35A
N244MP,Rockwell International,690B
N244MV,Dehavilland,DHC-6
N244NW,Mcdonnell-Douglas,DC-10-30
N244RG,Gates Learjet Corp.,35A
N244US,Boeing,737-201
N244V,Beech,D18S
N244WA,Boeing,737-247
N244YV,Beech,1900D
N245AA,Mcdonnell Douglas,DC-9-82(MD-82)
N245AE,Saab,340B
N245AM,Swearingen,SA226TC
N245AS,Embraer,EMB-120RT
N245CA,Grumman,G-159
N245CF,Rockwell International,690A
N245DH,Fairchild,SA227-AT
N245FE,Boeing,727-277
N245FX,Learjet Inc,60
N245GL,Beech,1900D
N245GW,Dehavilland,DHC-6-200
N245HG,Douglas,DC-8-53
N245JS,Beech,200
N245K,Learjet Inc,45
N245KC,Learjet Inc,45
N245M,Beech,H-18
N245MS,Gates Learjet Corp,55
N245QS,Dassault Aviation,FALCON 2000
N245SA,Dehavilland,DHC-6-300
N245TL,Canadair Ltd,CL-600-2B16
N245TT,Gulfstream Aerospace,G-V
N245US,Boeing,737-201
N245WA,Boeing,737-247
N24517,Embraer,EMB-135LR
N246AA,Mcdonnell Douglas,DC-9-82(MD-82)
N246AE,Aerospatiale/Aeritalia,ATR 42-300
N246AG,Dassault-Breguet,MYSTERE FALCON 900
N246AS,Embraer,EMB-120RT
N246CM,Gates Learjet Corp.,35A
N246DH,Fairchild,SA227-AT
N246FE,Boeing,727-277
N246FX,Learjet Inc,60
N246JL,Canadair Ltd,CL-600 CHALLENGER
N246MC,Rockwell International,690B
N246NW,Cessna,560
N246SP,Cessna,441
N246TR,Boeing,737-228
N246US,Boeing,737-201
N246V,Raytheon Aircraft Company,HAWKER 800XP
N246W,Mitsubishi,MU-2B-60
N24633,Boeing,737-524
N247AE,Saab,340B
N247AS,Embraer,EMB-120RT
N247B,Beech,A100
N247CA,Embraer,EMB-120ER
N247DH,Fairchild,SA227-AT
N247EM,Gulfstream Aerospace,G-IV
N247FX,Learjet Inc,60
N247GL,Beech,1900D
N247JM,Beech,B200
N247RG,Gulfstream Aerospace,G-1159A
N247TA,Learjet Inc,35A
N247TN,Airbus Industrie,A300B4-203
N247TR,Boeing,737-228
N247US,Boeing,737-201
N247WF,Canadair Ltd,CL-600-2B16
N247WW,Piper,PA-42
N24702,Boeing,737-724
N24706,Boeing,737-724
N24715,Boeing,737-724
N24729,Boeing,737-724
N24736,Boeing,737-724
N248AA,Mcdonnell Douglas,DC-9-82(MD-82)
N248AT,Aerospatiale,ATR 72-212
N248CA,Embraer,EMB-120RT
N248DH,Swearingen,SA227-AT
N248DJ,Piper,PA-42-1000
N248FX,Learjet Inc,60
N248GB,Beech,C-45H
N248JF,Dassault Aviation,FALCON 2000
N248SL,Israel Aircraft Industries,ASTRA SPX
N248TH,Gulfstream American Corp.,G-1159
N248US,Boeing,737-201
N24837,Boeing,747-329
N249AA,Mcdonnell Douglas,DC-9-82(MD-82)
N249AT,Aerospatiale/Aeritalia,ATR 42-300
N249B,Gates Learjet Corp.,35A
N249CA,Embraer,EMB-120RT
N249DH,Swearingen,SA227-AT
N249FX,Learjet Inc,60
N249GL,Beech,1900D
N249K,Beech,E18S
N249TR,Boeing,737-228
N249US,Boeing,737-201
N249WM,Beech,E-90
N2493F,Convair,HC-131A
N25A,Beech,D18S
N25AG,Dehavilland,DHC-7-102
N25AM,Gates Learjet,25D
N25AN,Gates Learjet Corp.,35A
N25AZ,Boeing,727-100
N25BD,Rockwell International,690
N25BE,Aero Commander,681
N25BH,Cessna,402B
N25CE,Rockwell International,690B
N25CS,Beech,B200
N25CU,Beech,B300
N25CY,Gates Learjet,25D
N25DR,Convair,440
N25EC,Learjet Inc,25
N25FB,Dehavilland,DH-114
N25FM,Gates Lear Jet,25
N25FN,Gates Learjet,25D
N25GK,Beech,B200
N25GM,Mitsubishi,MU-2B-40
N25HF,Gates Learjet,25D
N25JT,Hawker Siddeley,DH.125-1A
N25KA,Beech,200
N25KW,Beech,200
N25MB,Dassault-Breguet,FALCON 50
N25MD,Gates Lear Jet,25
N25ME,Learjet Inc,25
N25MT,Gates Lear Jet,25C
N25NB,Gates Learjet,25D
N25NY,Gates Learjet,25D
N25PW,Gates Learjet,25D
N25RE,Gates Learjet,25D
N25RZ,Rockwell International,690B
N25SB,Canadair Ltd,CL-600-2B16
N25TE,Gates Lear Jet,25C
N25TG,Beech,E-90
N25UJ,Gates Learjet,25D
N25W,British Aerospace,BAE 125 SERIES 800A
N25WK,Beech,C-45G
N25WX,Raytheon Aircraft Company,HAWKER 800XP
N25X,Beech,E18S
N25XP,Raytheon Aircraft Company,HAWKER 800XP
N250AE,Saab,340B
N250AM,Swearingen,SA226TC
N250AS,Dassault-Breguet,FALCON 50
N250CM,Cessna,650
N250D,Lockheed,18-56
N250DH,Hawker Siddeley,DH.125-400A
N250DL,Beech,200
N250FX,Learjet Inc,60
N250GP,Mitsubishi,MU-300
N250GW,Lockheed,18-56
N250HP,Raytheon Aircraft Company,400A
N250JR,Lockheed,18-56
N250JW,Lockheed,18-56
N250MS,Gulfstream American Corp.,G-1159
N250N,Lockheed,18-56
N250RM,Beech,JRB-6
N250RP,Beech,E18S
N250SM,Cessna,560XL
N250SP,Cessna,560
N250TJ,Piper,PA-42
N250TM,Beech,200
N250TR,Boeing,737-228
N250UP,Mcdonnell Douglas,MD-11
N250VC,Gulfstream Aerospace,G-IV
N250W,Lockheed,18
N250X,Lockheed,18
N250YV,Embraer,EMB-120RT
N2500,Beech,D18S
N25071,Airbus Industrie,A300B4-605R
N251AA,Mcdonnell Douglas,DC-9-82(MD-82)
N251AE,Aerospatiale/Aeritalia,ATR 42-300
N251AU,Boeing,737-201
N251CE,Douglas,C-118A
N251DS,Gates Learjet,25D
N251ES,Rockwell International,690A
N251FX,Learjet Inc,60
N251GL,Raytheon Aircraft Company,1900D
N251JA,Gates Lear Jet,25B
N251JS,Gulfstream American Corp.,G-1159
N251K,Beech,E18S
N251LF,Boeing,737-200
N251MD,Gates Learjet,25D
N251RS,Cessna,402C
N251SA,Dehavilland,DHC-6 TWIN OTTER
N251UP,Mcdonnell Douglas,MD-11
N251YV,Embraer,EMB-120RT
N2510C,Beech,E18S-9700
N2510R,Swearingen,SA226TC
N2518M,Israel Aircraft Industries,1124A
N252AM,Aerospatiale/Atr,ATR 72 202
N252AU,Boeing,737-201
N252BK,Gates Lear Jet,25B
N252CJ,Saab,340B
N252FX,Learjet Inc,60
N252JS,Gulfstream Aerospace,G-V
N252K,Lockheed,18-56
N252RL,Boeing,727-200
N252SA,Dehavilland,DHC-6-300
N252UP,Mcdonnell Douglas,MD-11
N252US,Boeing,727-251
N25201,Boeing,737-824
N253AA,Mcdonnell Douglas,DC-9-82(MD-82)
N253AE,Saab,340B
N253AG,Beech,200
N253AU,Boeing,737-201
N253CM,Gulfstream Aerospace,G-V
N253DV,Boeing,737-300
N253GL,Raytheon Aircraft Company,1900D
N253JM,Rockwell International,690B
N253MS,Raytheon Aircraft Company,B300
N253MT,Hawker Siddeley,HS125 SRS 400A
N253QS,Dassault Aviation,FALCON 2000
N253S,Gates Learjet Corp,55
N253TA,Beech,2000
N254AE,Saab,340B
N254AU,Boeing,737-201
N254CA,Embraer,EMB-120RT
N254CL,Gates Learjet,25D
N254CR,Grumman American Avn. Corp.,G-1159
N254DV,Dassault-Breguet,FALCON 50
N254FE,Boeing,727-233
N254FZ,Learjet Inc,60
N254GA,Gulfstream Aerospace,G-IV
N254GL,Raytheon Aircraft Company,1900D
N254K,Beech,B-80
N254PW,Rockwell International,690A
N254RK,Raytheon Aircraft Company,400A
N254SA,Dehavilland,DHC-6 TWIN OTTER
N254SC,Gates Lear Jet,25B
N254SD,Gulfstream Aerospace,G-IV
N254US,Gates Learjet Corp.,35A
N255AA,Mcdonnell Douglas,DC-9-82(MD-82)
N255AE,Aerospatiale/Aeritalia,ATR 42-300
N255AM,Swearingen,SA226TC
N255AU,Boeing,737-201
N255BD,Learjet Inc,60
N255C,Mitsubishi,MU-2B-30
N255CA,Embraer,EMB-120RT
N255CC,Canadair Ltd,CL-600-2B16
N255CM,Dassault-Breguet,FALCON 50
N255D,Beech,E18S
N255DG,Mitsubishi,MU-300
N255DV,British Aerospace,BAE 125 SERIES 800A
N255DY,Learjet Inc,31
N255FX,Learjet Inc,60
N255GA,Gulfstream Aerospace,G-IV
N255GL,Raytheon Aircraft Company,1900D
N255QS,Dassault Aviation,FALCON 2000
N255RB,British Aerospace,BAE 125 SERIES 800A
N255S,Martin,404
N255SA,Dehavilland,DHC-6-300
N255ST,Gates Learjet Corp,55
N255TK,Grumman,G-159
N255UJ,Gates Learjet Corp,55
N255US,Boeing,727-251
N25504,Embraer,EMB-135ER
N256A,Dassault-Breguet,FALCON 50
N256AE,Saab,340B
N256AU,Boeing,737-201
N256BC,Raytheon Corporate Jets Inc,HAWKER 800
N256CA,Embraer,EMB-120RT
N256DD,Cessna,441
N256DV,Dassault-Breguet,MYSTERE FALCON 900
N256GA,Gulfstream Aerospace,G-V
N256JC,Dassault-Breguet,MYSTERE FALCON 200
N256RA,Beech,C-45H
N256S,Martin,404
N256US,Boeing,727-251
N256W,Cessna,650
N256WJ,Hawker Siddeley,HS-125-F600B
N256X,Aero Commander,680FL
N2564B,Northrop,C-125
N25641,Douglas,DC3C-S4C4G
N25646,Douglas,DC3A
N25656,Douglas,DC3
N25661,Douglas,DC3A
N25670,Douglas,DC3A
N25673,Douglas,DC3A
N25689,Douglas,DC3
N257AL,Gates Learjet Corp.,35A
N257AS,Embraer,EMB-120RT
N257AU,Boeing,737-201
N257CA,Embraer,EMB-120RT
N257CB,Mitsubishi,MU-300
N257CG,Raytheon Aircraft Company,B200
N257FE,Boeing,727-233
N257GL,Raytheon Aircraft Company,1900D
N257H,Gulfstream Aerospace,G-IV
N257MC,Dornier,DORNIER 228-202
N257NA,Beech,200
N257SD,Gates Lear Jet,35
N257W,Cessna,650
N257YA,Raytheon Aircraft Company,B200
N2570B,Northrop,C-125
N25705,Boeing,737-724
N25729,Boeing,727-224
N258A,Dassault-Breguet,MYSTERE FALCON 20-F5
N258AA,Mcdonnell Douglas,DC-9-82(MD-82)
N258AG,Beech,200
N258AS,Embraer,EMB-120RT
N258CA,Embraer,EMB-120RT
N258FE,Boeing,727-233
N258G,Gates Learjet Corp.,35A
N258PB,Cessna,402C
N258QS,Dassault Aviation,FALCON 2000
N258RA,Raytheon Corporate Jets Inc,HAWKER 800
N258S,Martin,404
N258SA,Dehavilland,DHC-6-300
N258SP,Raytheon Corporate Jets Inc,HAWKER 800
N258VB,Cessna,441
N25811,Aerospatiale/Aeritalia,ATR 42-320
N25853,Raytheon Aircraft Company,HAWKER 800XP
N259AA,Mcdonnell Douglas,DC-9-82(MD-82)
N259AE,Saab,340B
N259AU,Boeing,737-201
N259CA,Embraer,EMB-120RT
N259DA,Beech,C18S
N259P,Nihon,YS-11A-500
N259QS,Dassault Aviation,FALCON 2000
N259RH,Raytheon Aircraft Company,HAWKER 800XP
N259S,Martin,404
N259SC,Beech,E-90
N259SP,Raytheon Aircraft Company,HAWKER 800XP
N259US,Boeing,727-251
N2595,Beech,C18S
N26AJ,Grumman,G-159
N26AP,Mitsubishi,MU-2B-60
N26AT,Gates Lear Jet,25B
N26BE,Beech,200
N26FF,Beech,B200
N26FN,Gates Lear Jet Corp.,36
N26GP,Gates Learjet Corp.,35A
N26JA,Britten-Norman,BN-2A-8
N26JP,Beech,400A
N26KL,Israel Aircraft Industries,1124A
N26LC,Learjet Inc,31
N26MA,Douglas,DC3-G102A
N26ME,British Aerospace A/C Group,HS.125-700A
N26MJ,Cessna,750
N26PK,Cessna,441
N26PL,Beech,H-18
N26QT,Cessna,560
N26RF,Cessna,441
N26SC,British Aerospace A/C Group,HS.125-700A
N26SD,Cessna,650
N26SJ,Beech,200
N26SQ,Rockwell International Corp,NA-265-60
N26T,Israel Aircraft Industries,1124
N26TZ,Israel Aircraft Industries,1124
N26UT,Beech,B200
N26WP,Dassault Aviation,MYSTERE-FALCON 50
N26YV,Beech,1900D
N260AE,Aerospatiale,ATR 72-212
N260AG,Short Bros. & Harland,SD3-30
N260AK,Britten-Norman,BN-2A-27
N260AS,Embraer,EMB-120RT
N260AU,Boeing,737-201
N260DA,Beech,C-45G
N260FA,Lockheed,L-1011-385-1-14
N260G,Beech,B200
N260GL,Raytheon Aircraft Company,1900D
N260H,Lockheed,18-50
N260LF,Learjet Inc,31
N260MC,Dornier,DORNIER 228-202
N260R,Beech,D18S
N260SK,Embraer,EMB-145
N260US,Boeing,727-251
N260VP,Cessna,650
N260WE,Rockwell International,690B
N2600,Gulfstream Aerospace,G-IV
N2601V,Learjet Inc,60
N26035,Beech,H-18
N2606,Cessna,650
N261AC,Beech,200
N261AE,Saab,340B
N261AG,Short Bros. & Harland,SD3-30
N261AS,Embraer,EMB-120ER
N261AU,Boeing,737-201
N261BC,Raytheon Aircraft Company,B200
N261CA,Embraer,EMB-120RT
N261GA,Israel Aircraft Industries,ASTRA SPX
N261GL,Raytheon Aircraft Company,1900D
N261JP,Beech,400A
N261KW,Mitsubishi,MU-2B-25
N261LR,Boeing,737-230
N261MA,Mitsubishi,MU-2B-60
N261PC,Learjet Inc,60
N261PG,Gates Learjet Corp.,35A
N261PQ,Learjet Inc,31A
N261SC,Learjet Inc,31A
N261SK,Embraer,EMB-145
N261SW,Beech,C-99
N261WC,Gates Learjet,25D
N261WR,Cessna,560
N2610,Gulfstream Aerospace,G-IV
N2610G,Cessna,402C
N2610Z,Cessna,402C
N2611C,Cessna,402C
N2611X,Cessna,402C
N26110,Cessna,402C
N2612C,Cessna,402C
N26123,Boeing,757-224
N2613B,Cessna,402C
N2614L,Cessna,402C
N2615,Gulfstream Aerospace,G-IV
N2615G,Cessna,402C
N2615Q,Cessna,402C
N26150,Cessna,402C
N26156,Cessna,402C
N2616D,Cessna,402C
N2619M,Douglas,DC3C-R
N262AA,Mcdonnell Douglas,DC-9-82(MD-82)
N262AG,Short Bros. & Harland,SD3-30
N262AS,Embraer,EMB-120ER
N262AT,Aerospatiale/Aeritalia,ATR 42-300
N262AU,Boeing,737-201
N262FE,Boeing,727-233
N262GA,Israel Aircraft Industries,ASTRA SPX
N262GL,Raytheon Aircraft Company,1900D
N262MA,Construcciones Aeronauticas Sa,CASA-212-200
N262QS,Dassault Aviation,FALCON 2000
N262SA,Swearingen,SA226-T(B)
N262SK,Embraer,EMB-145LR
N2620,Dehavilland,DHC-7-102
N26202,Nord,262-A
N26208,Boeing,737-824
N26210,Boeing,737-824
N26215,Boeing,737-824
N26226,Boeing,737-824
N2623F,Cessna,441
N26232,Boeing,737-824
N2624D,Cessna,441
N2625,Beech,C-45H
N2628M,Cessna,441
N2628Y,Boeing,720-068B
N26288,Short Bros. & Harland,SD3-30
N2629P,Short Bros. & Harland,SD3-30
N2629Y,Short Bros. & Harland,SD3-30
N263AE,Saab,340B
N263AS,Embraer,EMB-120RT
N263AU,Boeing,737-201
N263C,Beech,70
N263CA,Embraer,EMB-120RT
N263FE,Boeing,727-233
N263G,Beech,D18S
N263MA,Construcciones Aeronauticas Sa,CASA-212-200
N263MC,Dornier,DORNIER 228-202
N263NR,Canadair,CL215 1A10
N263S,Gulfstream Aerospace,G-IV
N263SK,Embraer,EMB-145
N263SP,Raytheon Aircraft Company,B200
N263SW,Beech,B200
N263US,Boeing,727-251
N263VG,Beech,E18S
N2630A,Short Bros. & Harland,SD3-30
N2630K,Beech,E18S
N2631,Beech,C18S
N2635,Beech,D18S
N26371,Cessna,402C
N264AE,Saab,340B
N264AG,Short Bros. & Harland,SD3-30
N264AS,Embraer,EMB-120RT
N264AU,Boeing,737-201
N264CA,Embraer,EMB-120RT
N264CL,Grumman American Avn. Corp.,G-1159
N264D,Aero Commander,680FL
N264FE,Boeing,727-233
N264KW,Mitsubishi,MU-2B-40
N264MC,Dornier,DORNIER 228-202
N264PA,Beech,B100
N264SK,Embraer,EMB-145
N264SP,Raytheon Aircraft Company,B200
N264TN,Dassault/Sud,FAN JET FALCON SER F
N264TW,Gates Learjet,25D
N264U,Cessna,560
N264US,Boeing,727-251
N2643B,Rockwell International,681B
N2643X,Britten Norman Ltd.,BN-2B-20
N2646W,Rockwell International,690B
N2647,Douglas,DC-3A-S1C3G
N2649Z,Cessna,402C
N26493,Beech,H-18
N265A,Gulfstream Aerospace,G-1159A
N265AE,Aerospatiale/Aeritalia,ATR 42-300
N265AS,Embraer,EMB-120RT
N265AU,Boeing,737-201
N265C,Rockwell International Corp,NA-265-65
N265EX,Rockwell International Corp,695
N265FE,Boeing,727-233
N265JH,Rockwell International,690C
N265KC,Rockwell International,NA-265-80
N265M,Rockwell International Corp,NA-265-65
N265MC,Dornier,DORNIER 228-202
N265MP,Dassault/Sud,FAN JET FALCON
N265QS,Dassault Aviation,FALCON 2000
N265SK,Embraer,EMB-145
N265SP,Rockwell International Corp,NA-265-65
N265ST,Gulfstream Aerospace,G-IV
N265TW,Gates Learjet,25D
N265U,Rockwell International Corp,NA-265-60
N265US,Boeing,727-251
N26503,Cessna,402C
N2651S,Cessna,402C
N2651Y,Cessna,402C
N26511,Aero Commander,680FL
N26514,Cessna,402C
N2652B,Cessna,402C
N2654D,Convair,600-240D
N2655Y,Boeing,737-2H4
N2656X,Beech,H-18
N266AA,Mcdonnell Douglas,DC-9-82(MD-82)
N266AE,Saab,340B
N266AS,Embraer,EMB-120ER
N266AU,Boeing,737-2B7
N266CA,Embraer,EMB-120RT
N266EB,Beech,200
N266FE,Boeing,727-233
N266GA,Gulfstream Aerospace,G-IV
N266M,Swearingen,SA227-TT
N266MC,Dornier,DORNIER 228-202
N266NR,Canadair,CL215 1A10
N266RH,Beech,200
N266SK,Embraer,EMB-145LR
N266US,Boeing,727-251
N2660L,Grumman Aircraft Eng Corp,G-111
N26626,Cessna,402C
N26632,Cessna,402C
N2668D,Douglas,DC3C
N2668K,Douglas,DC3
N267AS,Embraer,EMB-120ER
N267AU,Boeing,737-2B7
N267CA,Embraer,EMB-120RT
N267FE,Boeing,727-233
N267JE,British Aerospace A/C Group,HS.125-700A
N267PS,Gulfstream American Corp.,G-1159
N267R,Rockwell International,690B
N267SK,Embraer,EMB-145LR
N267TG,Cessna,650
N267US,Boeing,727-251
N2670X,Dehavilland,DHC-6 TWIN OTTER
N2674U,Douglas,DC-8-73F
N2679U,Short Bros. & Harland,SD3-30
N268AA,Beech,G18S
N268AE,Saab,340B
N268AS,Embraer,EMB-120ER
N268AU,Boeing,737-2B7
N268CA,Embraer,EMB-120RT
N268CB,Beech,300
N268FE,Boeing,727-233
N268NC,Dehavilland,CARIBOU DHC-4A
N268SK,Embraer,EMB-145LR
N268UE,Embraer,EMB-120RT
N268US,Boeing,727-251
N268WC,Gates Learjet,25D
N268X,Aero Commander,680FL
N26826,Aerospatiale/Aeritalia,ATR 42-320
N2685W,Douglas,DAKOTA 4
N26863,Fairchild,SA227-AC
N26877,Fairchild,SA227-AC
N2688Z,Boeing,727-44C
N269AA,Mcdonnell Douglas,DC-9-82(MD-82)
N269AS,Embraer,EMB-120RT
N269AT,Aerospatiale/Aeritalia,ATR 42-300
N269AU,Boeing,737-2B7
N269BW,Beech,200
N269CA,Embraer,EMB-120RT
N269D,Beech,200
N269FE,Boeing,727-233
N269GA,Gulfstream Aerospace,G-IV
N269HM,Gulfstream American Corp.,G-1159
N269JH,Cessna,402B
N269JR,Cessna,560XL
N269LM,Douglas,C-47
N269MC,Dornier,DORNIER 228-202
N269SK,Embraer,EMB-145LR
N269TA,Cessna,560
N269UE,Embraer,EMB-120RT
N269US,Boeing,727-251
N2691W,Fairchild,SA227-AC
N2692U,Hunting Aircraft Ltd,P66 PEMBROKE
N2693C,Fairchild,SA227-AC
N26932,Fairchild,SA227-AC
N26942,Cessna,402B
N26959,Fairchild,SA227-AC
N26974,Fairchild,SA227-AC
N2698C,Fairchild,SA227-AC
N2699Y,Fairchild,SA227-AC
N27AL,Beech,99A
N27BH,Canadair Ltd,CL-600 CHALLENGER
N27BL,Gates Learjet Corp.,35A
N27CD,Gulfstream Aerospace,G-IV
N27CS,Beech,B100
N27CV,Beech,B200
N27DD,Gates Learjet Corp,55
N27FL,Raytheon Aircraft Company,HAWKER 800XP
N27KA,Boeing,727-22
N27LJ,Beech,B200
N27LT,Rockwell International,NA-265-80
N27MA,Douglas,C-54
N27MD,Aero Commander,1121
N27MJ,Gates Lear Jet,36A
N27MR,Britten-Norman,BN2A-26 ISLANDER
N27R,Dassault Aviation,FALCON 2000
N27RA,Beech,1900C
N27SE,Beech,F90
N27SL,Grumman,G-1159
N27TJ,Mitsubishi,MU-2B-60
N27TS,Cessna,650
N27TT,Gates Learjet Corp.,35A
N27VE,Gulfstream Aerospace,695B
N27VF,Aero Commander,680FL P
N27WH,Beech,F90
N27WP,Dassault Aviation,FALCON 2000
N27XJ,Saab-Fairchild,340A
N27XL,Cessna,560
N27Y,Beech,E18S
N270AT,Aerospatiale,ATR 72-212
N270AU,Boeing,737-2B7
N270BC,Boeing,747-357
N270CB,Aero Commander,680FL P
N270CS,Gates Lear Jet,35
N270FE,Boeing,727-233
N270FL,Boeing,737-2L9
N270HC,British Aerospace,BAE 125 SERIES 800A
N270KA,Hawker Siddeley,HS.125 SERIES 700A
N270LC,Israel Aircraft Industries,1124
N270MC,Gulfstream American Corp.,G-1159A
N270SC,Gulfstream Aerospace,G-IV
N270SK,Embraer,EMB-145LR
N270UE,Embraer,EMB-120RT
N270US,Boeing,727-251
N270WS,Gates Learjet Corp,55C
N270YV,Embraer,EMB-120RT
N27015,Boeing,777-224
N2703,Fairchild,F-27
N2708B,Fairchild,F-27J
N2708D,Fairchild,SA227-AC
N2708R,Fairchild,F-27A
N271AA,Mcdonnell Douglas,DC-9-82(MD-82)
N271AT,Aerospatiale/Aeritalia,ATR 42-300
N271AU,Boeing,737-2B7
N271BC,Beech,300
N271CA,Cessna,560
N271DC,Swearingen,SA226-T(B)
N271FE,Boeing,727-233
N271FL,Boeing,737-2L9
N271JG,Gulfstream Aerospace,G-V
N271LR,Boeing,737-230
N271MB,Rockwell International Corp,NA-265-65
N271P,Beech,D18S
N271RS,Britten-Norman,BN-2A-27
N271SC,Learjet Inc,31A
N271SK,Embraer,EMB-145LR
